+------------------------------------------------+-----------+
|                      Word                      | Frequency |
|                   5dEj0tvEBb                   |     1     |
|                    prafull                     |     1     |
|                 Daddy03920508                  |     1     |
|                     favour                     |     1     |
|                     lakhs                      |     1     |
|                   ueRcp3YSb0                   |     1     |
|                    ANIRBAN                     |     1     |
|                    ADHIKARY                    |     1     |
|                ANIRBANADH40894                 |     1     |
|                   requesting                   |     1     |
|                    changing                    |     1     |
|                   cz4xwAw521                   |     1     |
|                     Mahesh                     |     1     |
|                     Bisht                      |     1     |
|                MaheshB95855369                 |     1     |
|                      Plz                       |     1     |
|                   Eo5KaIaNIY                   |     1     |
|                     Dinkar                     |     1     |
|                     Kumar                      |     1     |
|                 dinkarkumar16                  |     1     |
|                     single                     |     1     |
|                   Rvjue51zYq                   |     1     |
|                      PNS                       |     1     |
|                    PN_S1234                    |     1     |
|                      Save                      |     1     |
|                    Consider                    |     1     |
|                   xvgcmdPICq                   |     1     |
|                     hunter                     |     1     |
|                     virus                      |     1     |
|                sureshgangavar2                 |     1     |
|                      Yes                       |     1     |
|                   moZ1x8OFD7                   |     1     |
|                    Subhansh                    |     1     |
|                SharmaSubh65767                 |     1     |
|                   25Xdk4IRrU                   |     1     |
|                     Rahul                      |     1     |
|                     Tiwari                     |     1     |
|                   tiwari_rk1                   |     1     |
|                   injustice                    |     1     |
|                   YKnr1LXZts                   |     1     |
|                     Neeraj                     |     1     |
|                   neena11211                   |     1     |
|                   1MJzjIes1s                   |     1     |
|                     Deepk                      |     1     |
|                     Tyagi                      |     1     |
|                tyagi_deep56170                 |     1     |
|                      Hlp                       |     1     |
|                   24bfGobdKx                   |     1     |
|                LOCATIONSLoading                |     1     |
|                ANALYTICSLoading                |     1     |
|                     access                     |     5     |
|                 functionality                  |     2     |
|                  subscription                  |     4     |
|                    required                    |     1     |
|                    provides                    |     1     |
|                   timeframes                   |     1     |
|                      Find                      |     2     |
|                     Thanks                     |     1     |
|                     trying                     |     1     |
|                      demo                      |     1     |
|                   continued                    |     1     |
|                    utliise                     |     1     |
|                      need                      |     1     |
|                   subscribe                    |     1     |
|                    account                     |     1     |
|                    already                     |     1     |
|                     logged                     |     1     |
|                     allows                     |     1     |
|                      user                      |     1     |
|                    require                     |     1     |
|                     users                      |     2     |
|                     create                     |     1     |
|                   additional                   |     1     |
|                 subscriptions                  |     1     |
|                   interested                   |     1     |
|                   discussing                   |     1     |
|                   discounts                    |     1     |
|                  organisation                  |     1     |
|                    queries                     |     1     |
|                   Reckoning                    |     12    |
|                     एसएसस                      |     24    |
|                       स                        |    128    |
|                       ज                        |     88    |
|                       एल                       |     17    |
|                       न                        |    125    |
|                       ट                        |    103    |
|                       फ                        |     27    |
|                       क                        |    282    |
|                       शन                       |     23    |
|                       र                        |    211    |
|                       त                        |     84    |
|                       भड                       |     4     |
|                       छ                        |     15    |
|                       उठ                       |     6     |
|                       रह                       |     16    |
|                       य                        |     93    |
|                       म                        |    120    |
|                       ग                        |     64    |
|                     Storms                     |     2     |
|                     Share                      |     2     |
|                     Issue                      |     2     |
|                     AajTak                     |     4     |
|                      Aaj                       |     8     |
|                      Tak                       |     14    |
|                       ব                        |     4     |
|                       ল                        |     4     |
|                     Campus                     |     4     |
|                     GNTTV                      |     2     |
|                     iChowk                     |     2     |
|                   Lallantop                    |     2     |
|                     DailyO                     |     2     |
|                  Cosmopolitan                  |     4     |
|                     Harper                     |     2     |
|                     Bazaar                     |     2     |
|                     Reader                     |     4     |
|                     Digest                     |     4     |
|                  IndiaTodayNE                  |     2     |
|                   Malayalam                    |     2     |
|                     Crime                      |     2     |
|                     Astro                      |     2     |
|                     Gaming                     |     6     |
|                     Brides                     |     2     |
|                      Ishq                      |     2     |
|                       FM                       |     2     |
|                      आजतक                      |     4     |
|                       AI                       |     2     |
|                       मन                       |     2     |
|                       जन                       |     4     |
|                       धर                       |     2     |
|                       ल                        |     97    |
|                      इफस                       |     2     |
|                       इल                       |     2     |
|                       व                        |     73    |
|                       ड                        |     61    |
|                       ब                        |     24    |
|                       श                        |     22    |
|                       च                        |     16    |
|                       यक                       |     5     |
|                       रम                       |     2     |
|                       जल                       |     8     |
|                   Explained                    |     2     |
|                       एज                       |     4     |
|                       ख                        |     22    |
|                       इ                        |     9     |
|                       ज़                        |     6     |
|                       इन                       |     9     |
|                       टर                       |     14    |
|                       भ                        |     26    |
|                       रत                       |     11    |
|                       ऑट                       |     2     |
|                       ष                        |     19    |
|                       सम                       |     8     |
|                       गल                       |     2     |
|                       उत                       |     2     |
|                       तर                       |     3     |
|                       प                        |     36    |
|                       रद                       |     4     |
|                       मध                       |     2     |
|                       जस                       |     2     |
|                       थ                        |     16    |
|                      आपक                       |     2     |
|                       अर                       |     2     |
|                       इव                       |     4     |
|                       ए                        |     37    |
|                       कर                       |     42    |
|                       शक                       |     2     |
|                    Investor                    |     2     |
|                       ऑन                       |     2     |
|                 NOTIFICATIONS                  |     2     |
|                      8th                       |     2     |
|                      Apr                       |     3     |
|                     Hindi                      |     2     |
|                       यर                       |     4     |
|                      सरक                       |     8     |
|                       और                       |     17    |
|                       ध                        |     22    |
|                       लय                       |     9     |
|                      लगभग                      |     5     |
|                      भरन                       |     5     |
|                      ऑनल                       |     7     |
|                       आव                       |     31    |
|                       दन                       |     24    |
|                       03                       |     6     |
|                       अप                       |     9     |
|                       गए                       |     4     |
|                       इस                       |     10    |
|                       नई                       |     2     |
|                      अपड                       |     2     |
|                       सब                       |     2     |
|                       टव                       |     2     |
|                       कम                       |     2     |
|                       मच                       |     4     |
|                      चयन                       |     4     |
|                       आय                       |     36    |
|                       एट                       |     7     |
|                       वल                       |     3     |
|                       रज                       |     2     |
|                       इच                       |     2     |
|                       उम                       |     14    |
|                       दव                       |     14    |
|                       आध                       |     7     |
|                       बस                       |     3     |
|                       इट                       |     4     |
|                       पर                       |     28    |
|                      अपन                       |     9     |
|                       मई                       |     7     |
|                       तक                       |     10    |
|                       दर                       |     2     |
|                      सकत                       |     8     |
|                       वर                       |     9     |
|                       तय                       |     6     |
|                      करन                       |     20    |
|                      अगस                       |     6     |
|                      जनवर                      |     7     |
|                      बदल                       |     5     |
|                       सक                       |     4     |
|                      चलत                       |     2     |
|                       कई                       |     6     |
|                      कहन                       |     2     |
|                       आख                       |     2     |
|                       अट                       |     2     |
|                       ऐस                       |     2     |
|                   nSvqoJrBxs                   |     2     |
|                     Ashish                     |     2     |
|                      Amar                      |     2     |
|                  AshishAmar19                  |     2     |
|                      Make                      |     2     |
|                    crucial                     |     2     |
|                   HjpwVLlfAn                   |     2     |
|                       खन                       |     5     |
|                       यह                       |     8     |
|                    RAUSHAN                     |     2     |
|                     SINGH                      |     2     |
|                RAUSHAN31704549                 |     2     |
|                     humble                     |     2     |
|                   SSCCGL2023                   |     2     |
|                    ABPNews                     |     3     |
|                   q7wQpkH3Pr                   |     2     |
|                     Naveen                     |     2     |
|                   NaveenC37                    |     2     |
|                      सफल                       |     2     |
|                      समय                       |     2     |
